Time,"f","Points:0","Points:1","Points:2"
101,-0,3.480000019,0,0
101,-0,3.49000001,0,0
101,-0,3.50999999,0,0
101,-0,3.529999971,0,0
101,-0,3.549999952,0,0
101,-0,3.559999943,0,0
101,-0,3.579999924,0,0
101,-0,3.599999905,0,0
101,-0,3.609999895,0,0
101,-0,3.630000114,0,0
101,-0,3.650000095,0,0
101,-0,3.660000086,0,0
101,-0,3.680000067,0,0
101,-0,3.700000048,0,0
101,-0,3.710000038,0,0
101,-0,3.730000019,0,0
101,-0,3.75,0,0
101,-0,3.75999999,0,0
101,-0,3.779999971,0,0
101,-0,3.799999952,0,0
101,-0,3.809999943,0,0
101,-0,3.829999924,0,0
101,-0,3.849999905,0,0
101,-0,3.859999895,0,0
101,-0,3.880000114,0,0
101,-0,3.900000095,0,0
101,-0,3.910000086,0,0
101,-0,3.930000067,0,0
101,-0,3.950000048,0,0
101,-0,3.960000038,0,0
101,-0,3.980000019,0,0
101,-0,4,0,0
101,-0,4.010000229,0,0
101,-0,4.03000021,0,0
101,-0,4.050000191,0,0
101,-0,4.059999943,0,0
101,-0,4.079999924,0,0
101,-0,4.099999905,0,0
101,-0,4.110000134,0,0
101,-0,4.130000114,0,0
101,-0,4.150000095,0,0
101,-0,4.159999847,0,0
101,-0,4.179999828,0,0
101,-0,4.199999809,0,0
101,-0,4.210000038,0,0
101,-0,4.230000019,0,0
101,-0,4.25,0,0
101,-0,4.260000229,0,0
101,-0,4.28000021,0,0
101,-0,4.300000191,0,0
101,-0,4.309999943,0,0
101,-0,4.329999924,0,0
101,-0,4.349999905,0,0
101,-0,4.360000134,0,0
101,-0,4.380000114,0,0
101,-0,4.400000095,0,0
101,-0,4.409999847,0,0
101,-0,4.429999828,0,0
101,-0,4.449999809,0,0
101,-0,4.460000038,0,0
101,-0,4.480000019,0,0
101,-0,4.5,0,0
101,-0,4.519999981,0,0
101,-0,4.53000021,0,0
101,-0,4.550000191,0,0
101,-0,4.570000172,0,0
101,-0,4.579999924,0,0
101,-0,4.599999905,0,0
101,-0,4.619999886,0,0
101,-0,4.630000114,0,0
101,-0,4.650000095,0,0
101,-0,4.670000076,0,0
101,-0,4.679999828,0,0
101,-0,4.699999809,0,0
101,-0,4.71999979,0,0
101,-0,4.730000019,0,0
101,-0,4.75,0,0
101,-0,4.769999981,0,0
101,-0,4.78000021,0,0
101,-0,4.800000191,0,0
101,-0,4.820000172,0,0
101,-0,4.829999924,0,0
101,-0,4.849999905,0,0
101,-0,4.869999886,0,0
101,-0,4.880000114,0,0
101,-0,4.900000095,0,0
101,-0,4.920000076,0,0
101,-0,4.929999828,0,0
101,-0,4.949999809,0,0
101,-0,4.96999979,0,0
101,-0,4.980000019,0,0
101,-0,5,0,0
