"Points:0","Points:1","Points:2","U_new:0","U_new:1","U_new:2","f"
0.95788,-0.0021213,-0.0051962,0.8,-0.8,0,-1.4856e-27
1.054,-0.089803,-0.0051962,0.8,-0.8,0,-1.4856e-27
0.96212,0.0021213,-0.0051962,0.8,-0.8,0,-1.4856e-27
1.0562,-0.087681,5.4136e-18,0.8,-0.8,0,-1.4856e-27
1.054,-0.089803,0.0051962,0.8,-0.8,0,-1.4856e-27
1.0498,-0.094045,0.0051962,0.8,-0.8,0,-1.4856e-27
1.0477,-0.096167,7.5061e-18,0.8,-0.8,0,-1.4856e-27
1.0498,-0.094045,-0.0051962,0.8,-0.8,0,-1.4856e-27
1.054,-0.089803,-0.0051962,0.8,-0.8,0,-1.4856e-27
0.96212,0.0021213,-0.0051962,0.8,-0.8,0,-1.4856e-27
0.95788,-0.0021213,-0.0051962,0.8,-0.8,0,-1.4856e-27
0.95576,-0.0042426,1.4136e-18,0.8,-0.8,0,-1.4856e-27
0.95788,-0.0021213,0.0051962,0.8,-0.8,0,-1.4856e-27
0.96212,0.0021213,0.0051962,0.8,-0.8,0,-1.4856e-27
0.96424,0.0042426,-6.7886e-19,0.8,-0.8,0,-1.4856e-27
1.1014,-0.14142,9.373e-18,0.8,-0.8,0,-1.4856e-27
1.0378,-0.10607,8.3553e-18,0.8,-0.8,0,-1.4856e-27
1.0449,-0.098995,-0.017321,0.8,-0.8,0,-1.4856e-27
1.059,-0.084853,-0.017321,0.8,-0.8,0,-1.4856e-27
1.0661,-0.077782,1.3803e-18,0.8,-0.8,0,-1.4856e-27
1.059,-0.084853,0.017321,0.8,-0.8,0,-1.4856e-27
1.0449,-0.098995,0.017321,0.8,-0.8,0,-1.4856e-27
1.3762,-0.087681,5.4136e-18,0.8,-0.8,0,-7.8851e-25
1.2842,0.0042426,-6.7886e-19,0.8,-0.8,0,-7.8851e-25
1.374,-0.089803,0.0051962,0.8,-0.8,0,-7.8851e-25
1.2821,0.0021213,0.0051962,0.8,-0.8,0,-7.8851e-25
1.3698,-0.094045,0.0051962,0.8,-0.8,0,-7.8851e-25
1.2779,-0.0021213,0.0051962,0.8,-0.8,0,-7.8851e-25
1.3677,-0.096167,7.5061e-18,0.8,-0.8,0,-7.8851e-25
1.2758,-0.0042426,1.4136e-18,0.8,-0.8,0,-7.8851e-25
1.3698,-0.094045,-0.0051962,0.8,-0.8,0,-7.8851e-25
1.2779,-0.0021213,-0.0051962,0.8,-0.8,0,-7.8851e-25
1.374,-0.089803,-0.0051962,0.8,-0.8,0,-7.8851e-25
1.2821,0.0021213,-0.0051962,0.8,-0.8,0,-7.8851e-25
1.3762,-0.087681,5.4136e-18,0.8,-0.8,0,-7.8851e-25
1.374,-0.089803,0.0051962,0.8,-0.8,0,-7.8851e-25
1.3698,-0.094045,0.0051962,0.8,-0.8,0,-7.8851e-25
1.3677,-0.096167,7.5061e-18,0.8,-0.8,0,-7.8851e-25
1.3698,-0.094045,-0.0051962,0.8,-0.8,0,-7.8851e-25
1.374,-0.089803,-0.0051962,0.8,-0.8,0,-7.8851e-25
1.2821,0.0021213,-0.0051962,0.8,-0.8,0,-7.8851e-25
1.2779,-0.0021213,-0.0051962,0.8,-0.8,0,-7.8851e-25
1.2758,-0.0042426,1.4136e-18,0.8,-0.8,0,-7.8851e-25
1.2779,-0.0021213,0.0051962,0.8,-0.8,0,-7.8851e-25
1.2821,0.0021213,0.0051962,0.8,-0.8,0,-7.8851e-25
1.2842,0.0042426,-6.7886e-19,0.8,-0.8,0,-7.8851e-25
1.4214,-0.14142,9.373e-18,0.8,-0.8,0,-7.8851e-25
1.3578,-0.10607,8.3553e-18,0.8,-0.8,0,-7.8851e-25
1.3649,-0.098995,-0.017321,0.8,-0.8,0,-7.8851e-25
1.379,-0.084853,-0.017321,0.8,-0.8,0,-7.8851e-25
1.3861,-0.077782,1.3803e-18,0.8,-0.8,0,-7.8851e-25
1.379,-0.084853,0.017321,0.8,-0.8,0,-7.8851e-25
1.3649,-0.098995,0.017321,0.8,-0.8,0,-7.8851e-25
1.6962,-0.087681,5.4136e-18,0.8,-0.8,0,-6.455e-22
1.6042,0.0042426,-6.7886e-19,0.8,-0.8,0,-6.455e-22
1.694,-0.089803,0.0051962,0.8,-0.8,0,-6.455e-22
1.6021,0.0021213,0.0051962,0.8,-0.8,0,-6.455e-22
1.6898,-0.094045,0.0051962,0.8,-0.8,0,-6.455e-22
1.5979,-0.0021213,0.0051962,0.8,-0.8,0,-6.455e-22
